Source:;C:\Users\junky\OneDrive\Documents\GitHub\rp2040-business-card\Doom Stamp\Doom Stamp.kicad_sch;;;;;;
Date:;12/28/2024 9:53:35 AM;;;;;;
Tool:;Eeschema 7.0.6;;;;;;
Generator:;C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py;;;;;;
Component Count:;47;;;;;;
Ref;Qnty;Value;Cmp name;Footprint;Description;Vendor;DNP
C1, C4, C9, C17;4;10u;C;Capacitor_SMD:C_0402_1005Metric;Unpolarized capacitor;;
C2, C3;2;27p;C;Capacitor_SMD:C_0402_1005Metric;Unpolarized capacitor;;
C5, C6, C7, C11, C14, C15, C16, C18, C19, C20, C21;11;100n;C;Capacitor_SMD:C_0402_1005Metric;Unpolarized capacitor;;
C8, C10;2;1u;C;Capacitor_SMD:C_0402_1005Metric;Unpolarized capacitor;;
C12, C13;2;220p;C;Capacitor_SMD:C_0402_1005Metric;Unpolarized capacitor;;
D1;1;LED Diode;LED;LED_SMD:LED_0603_1608Metric;Light emitting diode;;
D2, D3;2;DNF;D_Schottky;Diode_SMD:D_0805_2012Metric;Schottky diode;;
J1;1;USB_C_Receptacle_USB2.0;USB_C_Receptacle_USB2.0;Custom:GCT_USB4105-GF-A;USB 2.0-only Type-C Receptacle connector;;
J6;1;USB_C_Receptacle_PowerOnly_6P;USB_C_Receptacle_PowerOnly_6P;Connector_USB:USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal;USB Power-Only 6P Type-C Receptacle connector;;
LS1;1;Speaker;Speaker_1;TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal;Speaker;;
R1, R5;2;1k;R;Resistor_SMD:R_0402_1005Metric;Resistor;;
R2, R12;2;DNF;R;Resistor_SMD:R_0402_1005Metric;Resistor;;
R3, R4;2;27;R;Resistor_SMD:R_0402_1005Metric;Resistor;;
R6;1;100k;R;Resistor_SMD:R_0402_1005Metric;Resistor;;
R7;1;680k;R;Resistor_SMD:R_0402_1005Metric;Resistor;;
R8;1;1K;R;Resistor_SMD:R_0402_1005Metric;Resistor;;
R9, R13;2;56k;R;Resistor_SMD:R_0402_1005Metric;Resistor;;
R10;1;5.1k;R;Resistor_SMD:R_0402_1005Metric;Resistor;;
R11;1;5.1K;R;Resistor_SMD:R_0402_1005Metric;Resistor;;
SW1;1;Conn_01x02;SW_SPST;Custom:PTS636_SL50_SMTR_LFS Tactile Switch;Single Pole Single Throw (SPST) switch;;
U1;1;NCP1117-3.3_SOT223;NCP1117-3.3_SOT223;Package_TO_SOT_SMD:SOT-223-3_TabPin2;1A Low drop-out regulator, Fixed Output 3.3V, SOT-223;;
U2;1;W25Q128JVS;W25Q128JVS;Package_SO:SOIC-8_5.23x5.23mm_P1.27mm;128Mb Serial Flash Memory, Standard/Dual/Quad SPI, SOIC-8;;
U3;1;RP2040;RP2040;Custom:RP2040-QFN-56;;;
U4;1;ST7735s_8;ST7735s_8;Custom:2328702-8 IPS screen FPC;;;
U5;1;MAX98357AETE+T;MAX98357AETE+T;Custom:MAX98357AETE-T;;;
Y1;1;ABLS-12.000MHZ-B4-T;Crystal;Custom:403C35D12M00000;Two pin crystal;;
